hz,promedio temporal de 0 a 100 del valor esperado de Haar de la pureza de Choi
0.225641,0.312122
0.351282,0.312153
0.476923,0.310786
0.602564,0.304762
0.728205,0.311002
0.853846,0.314723
0.979487,0.388448
1.10513,0.340671
1.23077,0.348072
1.35641,0.471258
1.48205,0.411188
1.60769,0.336586
1.73333,0.431316
1.85897,0.428086
1.98462,0.384132
2.11026,0.417035
2.2359,0.505341
2.36154,0.432817
2.48718,0.565089
2.61282,0.521756
2.73846,0.487217
2.8641,0.460576
2.98974,0.519975
3.11538,0.359062
3.24103,0.621205
3.36667,0.612976
3.49231,0.378852
3.61795,0.645059
3.74359,0.617663
3.86923,0.556564
3.99487,0.766833
4.12051,0.592256
4.24615,0.608706
4.37179,0.693424
4.49744,0.41026
4.62308,0.429966
4.74872,0.641923
4.87436,0.644606
5.,0.7278
0.1,0.322573
0.225641,0.306507
0.351282,0.305685
0.476923,0.320023
0.602564,0.304994
0.728205,0.320566
0.853846,0.325372
0.979487,0.333387
1.10513,0.384299
1.23077,0.400153
1.35641,0.320965
1.48205,0.423372
1.60769,0.361096
1.73333,0.374926
1.85897,0.391966
1.98462,0.396189
2.11026,0.497307
2.2359,0.345527
2.36154,0.365489
2.48718,0.478932
2.61282,0.41018
2.73846,0.608211
2.8641,0.73982
2.98974,0.555955
3.11538,0.479335
3.24103,0.379411
3.36667,0.648723
3.49231,0.523485
3.61795,0.382122
3.74359,0.71473
3.86923,0.759445
3.99487,0.630116
4.12051,0.648016
4.24615,0.666209
4.37179,0.55616
4.49744,0.468438
4.62308,0.452594
4.74872,0.615208
4.87436,0.704139
5.,0.651903
0.1,0.325535
0.225641,0.307654
0.351282,0.305381
0.476923,0.309781
0.602564,0.325002
0.728205,0.319586
0.853846,0.324417
0.979487,0.329393
1.10513,0.31939
1.23077,0.408132
1.35641,0.339127
1.48205,0.361455
1.60769,0.34883
1.73333,0.361743
1.85897,0.358689
1.98462,0.431755
2.11026,0.47126
2.2359,0.401617
2.36154,0.368985
2.48718,0.499094
2.61282,0.571516
2.73846,0.583023
2.8641,0.591562
2.98974,0.601799
3.11538,0.355871
3.24103,0.497446
3.36667,0.482658
3.49231,0.556726
3.61795,0.506385
3.74359,0.541396
3.86923,0.630727
3.99487,0.552575
4.12051,0.639675
4.24615,0.692843
4.37179,0.634193
4.49744,0.557285
4.62308,0.674368
4.74872,0.646977
4.87436,0.738806
5.,0.458355
0.1,0.318568
0.225641,0.317335
0.351282,0.308259
0.476923,0.309283
0.602564,0.317365
0.728205,0.318337
0.853846,0.332173
0.979487,0.417232
1.10513,0.374768
1.23077,0.340114
1.35641,0.373601
1.48205,0.373507
1.60769,0.351573
1.73333,0.320458
1.85897,0.519098
1.98462,0.429224
2.11026,0.401891
2.2359,0.434261
2.36154,0.529514
2.48718,0.56614
2.61282,0.470501
2.73846,0.389335
2.8641,0.474789
2.98974,0.328597
3.11538,0.391255
3.24103,0.553815
3.36667,0.649398
3.49231,0.675514
3.61795,0.60955
3.74359,0.474557
3.86923,0.522047
3.99487,0.409686
4.12051,0.407918
4.24615,0.679663
4.37179,0.688964
4.49744,0.540145
4.62308,0.733137
4.74872,0.671021
4.87436,0.691829
5.,0.73047
0.1,0.324756
0.225641,0.306272
0.351282,0.312845
0.476923,0.312824
0.602564,0.308768
0.728205,0.330566
0.853846,0.329078
0.979487,0.32856
1.10513,0.312665
1.23077,0.350776
1.35641,0.339987
1.48205,0.351929
1.60769,0.34213
1.73333,0.386588
1.85897,0.481487
1.98462,0.448775
2.11026,0.362132
2.2359,0.382685
2.36154,0.50614
2.48718,0.509579
2.61282,0.550061
2.73846,0.390209
2.8641,0.420248
2.98974,0.622096
3.11538,0.593451
3.24103,0.370267
3.36667,0.50109
3.49231,0.772234
3.61795,0.620552
3.74359,0.571961
3.86923,0.585087
3.99487,0.642453
4.12051,0.579174
4.24615,0.593972
4.37179,0.462635
4.49744,0.578996
4.62308,0.673285
4.74872,0.658601
4.87436,0.809231
5.,0.592741
0.1,0.330873
0.225641,0.314181
0.351282,0.307082
0.476923,0.307181
0.602564,0.314845
0.728205,0.309862
0.853846,0.330405
0.979487,0.329098
1.10513,0.329793
1.23077,0.320741
1.35641,0.338427
1.48205,0.390766
1.60769,0.376601
1.73333,0.423233
1.85897,0.358746
1.98462,0.320667
2.11026,0.426883
2.2359,0.459089
2.36154,0.384622
2.48718,0.456592
2.61282,0.459949
2.73846,0.483375
2.8641,0.575869
2.98974,0.410541
3.11538,0.356985
3.24103,0.670437
3.36667,0.59648
3.49231,0.484562
3.61795,0.373289
3.74359,0.431099
3.86923,0.667494
3.99487,0.419113
4.12051,0.676197
4.24615,0.596585
4.37179,0.730877
4.49744,0.748939
4.62308,0.484407
4.74872,0.64499
4.87436,0.628917
5.,0.389534
0.1,0.321979
0.225641,0.308995
0.351282,0.308425
0.476923,0.31234
0.602564,0.327193
0.728205,0.321647
0.853846,0.323913
0.979487,0.337898
1.10513,0.341796
1.23077,0.312854
1.35641,0.342285
1.48205,0.37747
1.60769,0.365274
1.73333,0.431916
1.85897,0.533242
1.98462,0.359933
2.11026,0.337466
2.2359,0.483348
2.36154,0.476414
2.48718,0.539691
2.61282,0.529114
2.73846,0.595195
2.8641,0.438911
2.98974,0.567765
3.11538,0.401964
3.24103,0.539427
3.36667,0.517336
3.49231,0.396471
3.61795,0.42622
3.74359,0.627862
3.86923,0.663521
3.99487,0.448277
4.12051,0.439296
4.24615,0.613267
4.37179,0.414968
4.49744,0.606233
4.62308,0.780929
4.74872,0.578361
4.87436,0.498389
5.,0.7429
0.1,0.323136
0.225641,0.316827
0.351282,0.304361
0.476923,0.305272
0.602564,0.309308
0.728205,0.305797
0.853846,0.312516
0.979487,0.356198
1.10513,0.336748
1.23077,0.336297
1.35641,0.322472
1.48205,0.376789
1.60769,0.377395
1.73333,0.444364
1.85897,0.37412
1.98462,0.382436
2.11026,0.319675
2.2359,0.390255
2.36154,0.442281
2.48718,0.511294
2.61282,0.462107
2.73846,0.43319
2.8641,0.639459
2.98974,0.437242
3.11538,0.423039
3.24103,0.521874
3.36667,0.423639
3.49231,0.530762
3.61795,0.486584
3.74359,0.503316
3.86923,0.717084
3.99487,0.62316
4.12051,0.387701
4.24615,0.519842
4.37179,0.628092
4.49744,0.625744
4.62308,0.543322
4.74872,0.485413
4.87436,0.775967
5.,0.725582
0.1,0.326296
0.225641,0.314784
0.351282,0.314993
0.476923,0.307403
0.602564,0.313666
0.728205,0.30466
0.853846,0.323683
0.979487,0.35702
1.10513,0.340109
1.23077,0.363306
1.35641,0.319459
1.48205,0.469585
1.60769,0.359577
1.73333,0.3114
1.85897,0.356649
1.98462,0.518716
2.11026,0.459038
2.2359,0.498268
2.36154,0.402294
2.48718,0.402512
2.61282,0.388448
2.73846,0.575398
2.8641,0.525003
2.98974,0.517634
3.11538,0.466511
3.24103,0.471349
3.36667,0.443962
3.49231,0.428183
3.61795,0.513311
3.74359,0.402221
3.86923,0.550007
3.99487,0.458207
4.12051,0.607796
4.24615,0.618051
4.37179,0.580578
4.49744,0.644946
4.62308,0.774398
4.74872,0.803838
4.87436,0.62991
5.,0.538598
0.1,0.324084
0.225641,0.310717
0.351282,0.309304
0.476923,0.306038
0.602564,0.323633
0.728205,0.313456
0.853846,0.326419
0.979487,0.310296
1.10513,0.38035
1.23077,0.420044
1.35641,0.442372
1.48205,0.309453
1.60769,0.382724
1.73333,0.316368
1.85897,0.540346
1.98462,0.562246
2.11026,0.342421
2.2359,0.377869
2.36154,0.399042
2.48718,0.646667
2.61282,0.40296
2.73846,0.564093
2.8641,0.478251
2.98974,0.467653
3.11538,0.522478
3.24103,0.347399
3.36667,0.483773
3.49231,0.64579
3.61795,0.672716
3.74359,0.532619
3.86923,0.50028
3.99487,0.529039
4.12051,0.391465
4.24615,0.551672
4.37179,0.630815
4.49744,0.65946
4.62308,0.621414
4.74872,0.519589
4.87436,0.654989
5.,0.628466
0.1,0.320809
0.225641,0.30576
0.351282,0.307971
0.476923,0.305362
0.602564,0.307223
0.728205,0.314557
0.853846,0.325772
0.979487,0.310149
1.10513,0.319286
1.23077,0.318023
1.35641,0.360284
1.48205,0.457879
1.60769,0.384067
1.73333,0.419426
1.85897,0.331429
1.98462,0.365522
2.11026,0.389891
2.2359,0.46218
2.36154,0.483996
